Ano,2023,2023,2023
Seed,43,44,45
Café,387/409 (94.6%),377/409 (92.2%),387/409 (94.6%)
Campo Alagado,154/155 (99.4%),155/155 (100.0%),155/155 (100.0%)
Cana-de-açúcar,643/647 (99.4%),635/647 (98.1%),641/647 (99.1%)
Citrus,352/645 (54.6%),431/645 (66.8%),392/645 (60.8%)
Formação Florestal,1866/1873 (99.6%),1863/1873 (99.5%),1865/1873 (99.6%)
Pastagem,1275/1284 (99.3%),1271/1284 (99.0%),1273/1284 (99.1%)
Silvicultura,467/470 (99.4%),465/470 (98.9%),465/470 (98.9%)
Soja,723/752 (96.1%),709/752 (94.3%),720/752 (95.7%)
Recall 0,0.99,0.98,0.98
Recall 1,0.55,0.67,0.61
Precision 0,0.95,0.96,0.96
Precision 1,0.82,0.79,0.82
