Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,376/409 (91.9%),392/409 (95.8%),368/409 (90.0%),393/409 (96.1%),429/506 (84.8%),416/506 (82.2%),424/506 (83.8%),412/506 (81.4%)
Campo Alagado,154/155 (99.4%),155/155 (100.0%),155/155 (100.0%),154/155 (99.4%),389/392 (99.2%),389/392 (99.2%),388/392 (99.0%),389/392 (99.2%)
Cana-de-açúcar,640/647 (98.9%),642/647 (99.2%),631/647 (97.5%),642/647 (99.2%),1485/1548 (95.9%),1487/1548 (96.1%),1494/1548 (96.5%),1499/1548 (96.8%)
Citrus,405/645 (62.8%),368/645 (57.1%),448/645 (69.5%),390/645 (60.5%),870/1183 (73.5%),876/1183 (74.0%),885/1183 (74.8%),841/1183 (71.1%)
Formação Florestal,1863/1873 (99.5%),1864/1873 (99.5%),1861/1873 (99.4%),1866/1873 (99.6%),3752/3786 (99.1%),3753/3786 (99.1%),3749/3786 (99.0%),3750/3786 (99.0%)
Pastagem,1268/1284 (98.8%),1272/1284 (99.1%),1267/1284 (98.7%),1273/1284 (99.1%),2418/2475 (97.7%),2402/2475 (97.1%),2410/2475 (97.4%),2419/2475 (97.7%)
Silvicultura,468/470 (99.6%),467/470 (99.4%),465/470 (98.9%),466/470 (99.1%),699/717 (97.5%),697/717 (97.2%),698/717 (97.4%),700/717 (97.6%)
Soja,716/752 (95.2%),718/752 (95.5%),703/752 (93.5%),719/752 (95.6%),1139/1278 (89.1%),1128/1278 (88.3%),1145/1278 (89.6%),1178/1278 (92.2%)
Recall 0,0.98,0.99,0.97,0.99,0.96,0.96,0.96,0.97
Recall 1,0.63,0.57,0.69,0.6,0.74,0.74,0.75,0.71
Precision 0,0.96,0.95,0.97,0.96,0.97,0.97,0.97,0.97
Precision 1,0.79,0.82,0.76,0.84,0.69,0.67,0.69,0.7
